,username,id,date,retweet,likes,text,Symbol,Subjectivity,Polarity,Score
27,IBD_ECarson,1350495800749662215,2021-01-16 17:31:04,1,0,"b'Teladoc, Intuitive Surgical, TMO Stock Near Buy Points As Covid Testing Ramps Up, Vaccines Lift Outlook $TDOC $ISRG $TMO $C\xe2\x80\xa6'","['TDOC', 'ISRG', 'TMO', 'C']",0.4,0.1,Positive
29,IBD_ECarson,1349856630054162433,2021-01-14 23:11:14,4,25,"b'Futures rise slightly on Biden stimulus plan; K-shaped market rally fades Thu., but yields five new breakouts\n $ABNB $QCOM $INSP $WISH $AAPL $YSG $FB $MSFT $TSM $AMZN '","['ABNB', 'QCOM', 'INSP', 'WISH', 'AAPL', 'YSG', 'FB', 'MSFT', 'TSM', 'AMZN']",0.3106060606060606,-0.015151515151515152,Negative
30,IBD_ECarson,1349852671260311554,2021-01-14 22:55:30,35,0,b'Reminder: comparing a fleet of $40k-$100k premium vehicles that are only a few years old on average using a driver assist\xe2\x80\xa6',"['40k', '100k']",0.425,-0.0625,Negative
31,IBD_ECarson,1349497753018142722,2021-01-13 23:25:11,2,13,b'Big techs show signs of life; why that may not be good news. Apple and Qualcomm offer early entries while new IPOs Airbnb and DoorDash flash buy signals. Futures rise slightly on vaccine news. $AAPL $QCOM $ABNB $DASH $JNJ $DCT $WISH $INTC $TSM $AMD  ',"['AAPL', 'QCOM', 'ABNB', 'DASH', 'JNJ', 'DCT', 'WISH', 'INTC', 'TSM', 'AMD']",0.3242424242424243,0.15393939393939393,Positive
32,IBD_ECarson,1349487933137424384,2021-01-13 22:46:10,1,4,"b""I'm being snarky, but serious. This is good news for Tesla and $TSLA. """,['TSLA'],0.6333333333333333,0.18333333333333332,Positive
34,IBD_ECarson,1349398509020086272,2021-01-13 16:50:49,0,1,"b'The 7-seat Tesla Model Y only works (possibly) for babies/little kids - so it only makes sense in the short run. However, a LOT of Tesla owners swap their vehicles for the latest Tesla model after a couple of years. $TSLA '",['TSLA'],0.8400000000000001,0.1,Positive
36,IBD_ECarson,1349139903678828545,2021-01-12 23:43:13,2,21,"b'On eve of Trump impeachment vote, the major indexes edge higher as growth stocks heat up, $GM, $UBER lead stocks entering buy zones.\n $WSM $F $TSLA $AAPL $PLUG $FB '","['GM', 'UBER', 'WSM', 'F', 'TSLA', 'AAPL', 'PLUG', 'FB']",0.5,0.15625,Positive
37,IBD_ECarson,1348808529822457856,2021-01-12 01:46:27,0,6,b'  Generac is our latest New America. A lot of moves into green energy. $GNRC\n',['GNRC'],0.5515151515151515,0.14545454545454545,Positive
38,IBD_ECarson,1348764657079570432,2021-01-11 22:52:07,3,21,"b'Nasdaq fell 1.25% Monday (and $QQQ lost 1.45%), but many growth stocks did well.\nInnovator IBD 50 ETF $FFTY: +1%\nInnovator IBD Breakout Opportunities ETF: +1%\nVanEck Vectors Semiconductors ETF: +1.5%.\n\nSoftware again was a weak area.\niShares Expanded Tech-Software ETF: -0.9% '","['QQQ', 'FFTY']",0.5625,0.0625,Positive
40,IBD_ECarson,1348466694876930052,2021-01-11 03:08:08,1,1,"b"" The federal corporate tax rate is 20% - it was 35% before the 2017 cuts. States typically have corporate taxes too. Biden plans to raise taxes on individuals (or perhaps households) w/ annual income above $400,000. I don't know how much he wants to raise taxes on these folks.""",['400'],0.13999999999999999,0.0066666666666666706,Positive
41,IBD_ECarson,1348464395895136258,2021-01-11 02:58:59,1,2,"b"" Biden's plan is to raise the corporate tax rate to 28% - as well as a minimum tax that might hit tech giants skilled at evading taxes. He plans to raise taxes on individuals (or households?) making &gt; $400K via income/cap gains/payroll taxes.""",['400K'],0.25,0.25,Positive
42,IBD_ECarson,1348417036741877760,2021-01-10 23:50:48,10,52,b'Futures fall as warning signs grow. These hot EV stocks are in focus.  $TSLA $NIO $XPEV $LI $BYDDF ',"['TSLA', 'NIO', 'XPEV', 'LI', 'BYDDF']",0.8500000000000001,0.25,Positive
43,IBD_ECarson,1348293042583728128,2021-01-10 15:38:06,1,4,"b'      Yep. Tesla is now 151.5% above its 200-day. Near the bottom of the story linked below I wrote about a few other times $TSLA got &gt; 100% above its 200-day - sometimes far more. That includes the Feb. 2020 climax-type run. After those tops, big corrections. '",['TSLA'],0.33437500000000003,0.046875,Positive
44,IBD_ECarson,1348291068278673408,2021-01-10 15:30:15,0,6,"b'     I think that\'s basically a channel line we were looking at ""in house"" - though you could draw a channel line that Tesla hasn\'t breached. Of the 10 climax top signs, $TSLA is tripping 6 or 7 - with the channel line the maybe.'",['TSLA'],0.5,0.5,Positive
45,IBD_ECarson,1348288281826394117,2021-01-10 15:19:11,1,16,"b""    Heh. Well, IBD is seeing signs of a Tesla climax top. Climax runs are great for existing investors - if you get out near the top. Tesla may could keep running for a few days - with massive gains - or maybe it's topping now. Overall market getting extended adds to risk. $TSLA""",['TSLA'],0.4642857142857143,0.24285714285714288,Positive
46,IBD_ECarson,1348012977136418816,2021-01-09 21:05:13,2,0,"b'$NIO In Buy Zone As New Electric Car, Long-Range Battery Revealed | Investor\xe2\x80\x99s Business Daily '",['NIO'],0.22727272727272727,0.06818181818181818,Positive
48,IBD_ECarson,1347997832855179265,2021-01-09 20:05:02,0,2,"b"" Tesla could keep running for a bit, just to be clear. On Nio, any time a stock runs up from the bottom to a buy zone, there's a high risk of a pullback. There's always a chance of a sharp sell-off, but that's not what I was trying to suggest with $NIO.""",['NIO'],0.5577777777777778,0.045000000000000005,Positive
49,IBD_ECarson,1347984805229596672,2021-01-09 19:13:16,0,4,"b"" A solid-state battery (from CATL?) would be a big deal, perhaps more for the EV industry than $NIO. Solid-state batteries could rapidly speed adoption. I suspect it wouldn't be good for Tesla, which has a battery tech rep and is spending heavily to improve existing tech. $TSLA""","['NIO', 'TSLA']",0.42500000000000004,0.25,Positive
50,IBD_ECarson,1347974932785815553,2021-01-09 18:34:02,0,1,"b""  Tesla sales are booming, there's euphoria about EV stocks overall, with hopes for green energy policies (even if the reality ends up being net negative for Tesla), while the stock market is powering higher. But I don't know why $TSLA suddenly seems to be going into a climax run.""",['TSLA'],0.2833333333333333,-0.041666666666666664,Negative
51,IBD_ECarson,1347970889883635712,2021-01-09 18:17:58,0,2,"b"" Obviously, $NIO went up a LOT last week. Hot sales likely were a big factor, though Nio Day buzz presumably was too. Don't know if Nio Day beat/missed investor hopes as of Friday's close.""",['NIO'],0.5033333333333334,0.05,Positive
52,IBD_ECarson,1347966910332211208,2021-01-09 18:02:10,0,11,"b'Please check out the embedded video in which  and I analyze the recent market action and discuss what investors should be doing now. We also took a look at Tesla, Nio and Chipotle. $TSLA $NIO $CMG.'","['TSLA', 'NIO', 'CMG']",0.175,0.05,Positive
54,IBD_ECarson,1347957034033942529,2021-01-09 17:22:55,1,0,"b"" Hola. Often a good idea to sell some shares into a climax run, because a stock can fall so fast on the downside. Tesla is looking like a climax run. $Nio is in a buy zone - though a pullback wouldn't be a surprise after its big spike in &lt; 2 wks. But it's not a climax. $TSLA""","['Nio', 'TSLA']",0.4333333333333334,0.3,Positive
55,IBD_ECarson,1347659567526596610,2021-01-08 21:40:53,6,0,"b'Tesla Stock, IBD Stock Of The Day, Flashes Several Signals Of Climax Top: What To Do Now $TSLA\n via\xe2\x80\xa6'",['TSLA'],0.25,0.25,Positive
56,IBD_ECarson,1347524283824627712,2021-01-08 12:43:19,0,1,"b""   Yeah, that's my situation. I've been selling into strength a bit, paring down my portfolio. Telemedicine is fascinating and $TDOC seems to be the leader, though.""",['TDOC'],0.5694444444444445,0.2722222222222222,Positive
59,IBD_ECarson,1347417070187679745,2021-01-08 05:37:17,0,0,"b'  To be fair, the Model Y costs about the same to make as a Model 3. Tesla was able to charge buyers a LOT more in 2020. Even now, the Model Y SR is $4K more than the Model 3 SR+.'",['4K'],0.53,0.44000000000000006,Positive
60,IBD_ECarson,1347379874340638722,2021-01-08 03:09:29,14,56,"b'Tesla unveils Model Y SR for $41,990 - $8K cheaper than prior base MY. Range 244 miles. The Ford Mach-E (230mi) and coming VW ID.4 (250mi) are about the same, but still cheaper after tax credits. \n\nAlso, is $TSLA getting too extended technically?\n '","['41', '8K', 'TSLA']",0.375,-0.26666666666666666,Negative
61,IBD_ECarson,1347322990518624256,2021-01-07 23:23:27,4,22,"b'Too Fast Too Furious? The stock market rally and Tesla continue to soar, but are flashing warning signs. Micron, Taiwan Semi, Boeing also are in focus.  $TSLA $MU $TSM $LRCX $AMAT $KLAC $BA '","['TSLA', 'MU', 'TSM', 'LRCX', 'AMAT', 'KLAC', 'BA']",0.6,0.2,Positive
62,IBD_ECarson,1347219980102860801,2021-01-07 16:34:08,1,0,b'5G Stocks To Watch: $QRVO beams into top of buy zone after 153% run from coronavirus bottom in March.   \xe2\x80\xa6',['QRVO'],0.5,0.5,Positive
63,IBD_ECarson,1347213874978721793,2021-01-07 16:09:52,1,0,"b'After being featured on the IBD Breakout Stocks Index yesterday, $CRL breaks into new buy zone.  \xe2\x80\xa6'",['CRL'],0.45454545454545453,0.13636363636363635,Positive
66,IBD_ECarson,1346894324932304896,2021-01-06 19:00:05,1,0,"b'Medifast, IBD Stock Of The Day, Jumps Past Buy Point As Growth Accelerates  $MED'",['MED'],0.25,-0.25,Negative
67,IBD_ECarson,1346588093424390146,2021-01-05 22:43:14,0,2,"b""   I'd be surprised if Tesla sold a new, lower-end Model Y for $35K - cheaper than the base Model 3 today. But, if so, that would be a *30% price cut* - with minimal savings from a smaller battery, etc. That would brutal for Tesla margins.""",['35K'],0.7424242424242425,-0.2564393939393939,Negative
68,IBD_ECarson,1346585315645870081,2021-01-05 22:32:12,0,3,"b""   Not going to debate Model Y vs. Mach-E/ID.4 straight up. But the MY starts at $50K, while the Ford Mach-E starts at $35.4K after tax credits. The ID.4 starts at $32.5K (with plans to fall to $27.5K in 2022). That's an awfully big premium.""","['50K', '35', '32', '27']",0.25,0.1,Positive
70,IBD_ECarson,1346576297103749120,2021-01-05 21:56:22,0,2,"b'  As the dotted lines show, there is a short IPO base on a weekly chart for $UPST. '",['UPST'],0.65,-0.4,Negative
71,IBD_ECarson,1346569322181718016,2021-01-05 21:28:39,0,3,"b' I don\'t know about SK sales. In a related note , looks like South Korea this week set EV subsidies for 2021. Base Model 3 eligible for full subsidies. Higher variants will get half-subsidies, unless Tesla can get away with its ""German maneuver"". $TSLA '",['TSLA'],0.49000000000000005,-0.040000000000000015,Negative
72,IBD_ECarson,1346500945589354503,2021-01-05 16:56:56,0,0,b'  The Arrested Development storyline of George Michael touting Fakeblock is unbelievable to 2020-2021 eyes because GM ultimately put a stop to the lie. He should have gone public via a SPAC with a $20 billion valuation. ',['20'],0.688888888888889,-0.08333333333333333,Negative
73,IBD_ECarson,1346256693559062528,2021-01-05 00:46:22,1,26,"b""Market rally faces early test in 2021. Meanwhile, leading stocks don't move in lockstep. Some win, some lose, some may be setting up.\n $TSLA $NIO $AAPL $AMZN $MSFT $XPEV $LI $SHOP $TSM ""","['TSLA', 'NIO', 'AAPL', 'AMZN', 'MSFT', 'XPEV', 'LI', 'SHOP', 'TSM']",0.35,0.45,Positive
74,IBD_ECarson,1346177467871014913,2021-01-04 19:31:33,1,0,b'Tesla Soars To New High After Notching New Delivery Record $tsla $nio $li $xpev\n via ',"['tsla', 'nio', 'li', 'xpev']",0.483030303030303,0.14424242424242426,Positive
75,IBD_ECarson,1346099085179199489,2021-01-04 14:20:05,0,1,"b"" There's not a good answer on this. Both matter, and TTD is sending mixed messages. The 50-day support, so far, means you could probably hold, but you might lighten up given the 10-week line. Important day/week for $TTD""",['TTD'],0.7125,0.03750000000000001,Positive
76,IBD_ECarson,1346073573882925056,2021-01-04 12:38:43,1,13,"b'Futures rise modestly to kick off 2021; Tesla, China EV rivals pop on strong sales.  $TSLA $NIO $LI $XPEV'","['TSLA', 'NIO', 'LI', 'XPEV']",0.8166666666666667,0.26666666666666666,Positive
77,IBD_ECarson,1345750572486389762,2021-01-03 15:15:13,0,2,b' Thanks for all your information about the China EV/NEV industry. Question in advance for upcoming Xpeng sales figures. Will $XPEV figures include the 100 or so G3 deliveries in Norway?',['XPEV'],0.2,0.2,Positive
78,IBD_ECarson,1345730982029135880,2021-01-03 13:57:23,0,7,"b"" Legacy automakers aren't looking shabby, technically.\nFord and GM have new flat bases. They're finding support near their 50-day/10-week, offering buying opportunities. VW is in buy range and Toyota is a bit extended. Fiat Chrysler/Ferrari extended. $F $GM $VWAGY $TM $FCAU $RACE""","['F', 'GM', 'VWAGY', 'TM', 'FCAU', 'RACE']",0.32651515151515154,0.07045454545454545,Positive
80,IBD_ECarson,1345437578367913988,2021-01-02 18:31:30,0,0,"b"" Lo siento. I don't know much about the best way to trade/hold Bitcoin. I also don't know the pros/cons of owning Bitcoin vs. Bitcoin-related stocks such as $MARA, $RIOT, etc.""","['MARA', 'RIOT']",0.3333333333333333,0.39999999999999997,Positive
81,IBD_ECarson,1345429160856965122,2021-01-02 17:58:03,0,1,"b'   So,  has beaten  for at least the past two quarters. That\'s not easy to do! Meanwhile, Wedbush\'s Dan Ives, who on Dec. 29 said ""190k-200k is well within reach"" for Q4 was quick to hail the actual figures with no mention of his Dec. 29 speculation. $TSLA'",['TSLA'],0.4166666666666667,-0.09750000000000002,Negative
82,IBD_ECarson,1345408953937580032,2021-01-02 16:37:45,16,61,"b'Busy Saturday: Tesla deliveries soar in Q4, with 2020 deliveries nearly hitting 500,000 target. Li Auto also reports booming sales, with Nio, Xpeng due soon. Bitcoin keeps racing higher. \n $TSLA $LI $NIO $XPEV '","['TSLA', 'LI', 'NIO', 'XPEV']",0.39375,0.08125,Positive
83,IBD_ECarson,1345052409752473600,2021-01-01 17:00:59,2,1,"b' speculates - no evidence - that the culprit could be the new heat pump system. That would be bad, esp. in northern Europe. Tesla Model 3 sales rebounded strongly in Norway in Q4 likely due in part to its new heat pump. $TSLA '",['TSLA'],0.6140151515151515,-0.01982323232323231,Negative
84,IBD_ECarson,1345045161202442246,2021-01-01 16:32:10,0,11,"b'Also check out the embedded video.  and I reviewed the recent market action, tried to put 2020 in perspective and what to expect in the new year. We also analyzed Jefferies, BYD Co. and Pinterest, all in or near buy range. $JEF $BYDDF $PINS'","['JEF', 'BYDDF', 'PINS']",0.30113636363636365,0.08409090909090909,Positive
85,IBD_ECarson,1345028671703113735,2021-01-01 15:26:39,6,59,"b'2020 market rally lessons for 2021; check out 25 stocks in by range now. Also, five hot EV makers with key news on tap\n $TSLA $NIO $XPEV $LI $BYDDF '","['TSLA', 'NIO', 'XPEV', 'LI', 'BYDDF']",0.925,0.125,Positive
86,IBD_ECarson,1344771781572268033,2020-12-31 22:25:52,5,0,"b""If you're keeping score, $AAPL was the biggest winner on the dowjones index in 2020 by far, soaring 80.7%. But $DIS blew away\xe2\x80\xa6""","['AAPL', 'DIS']",1.0,0.1,Positive
87,IBD_ECarson,1344734770262016000,2020-12-31 19:58:47,0,1,"b""  Looks like software, and speculative IPOs are getting hit today and this week. EV stocks are a speculative area that has held up well. I don't think Tesla is showing climax-like action right now. Big news for TSLA/$NIO/$BYDDF/$LI/$XPEV next week, adding to possible tax selling.""","['NIO', 'BYDDF', 'LI', 'XPEV']",0.34714285714285714,0.07714285714285714,Positive
88,IBD_ECarson,1344470019304919040,2020-12-31 02:26:46,0,1,"b'   The $FCX buy point is 25.53 - 10 cents above the top of the 3-weeks-tight. Technically, FCX closed just within the 5% chase zone, which runs to 26.81. But investors should try to buy as close as possible to the buy point from a 3wks tight. Freeport is looking a little extended.'",['FCX'],0.36938775510204075,0.004846938775510207,Positive
89,IBD_ECarson,1344449396205735936,2020-12-31 01:04:49,0,1,b' Heh. $TSLA had a strong day.',['TSLA'],0.7333333333333333,0.4333333333333333,Positive
90,IBD_ECarson,1344423470290014210,2020-12-30 23:21:48,3,19,"b'Futures eye final day of 2020 after a quietly bullish Wednesday. Major indexes dull, but five stocks enter buy zones as chip stocks, mining plays, EV makers and Bitcoin among those showing strength.  $TSM $V $MA $FCX $VIPS $DIS $NIO $TSLA '","['TSM', 'V', 'MA', 'FCX', 'VIPS', 'DIS', 'NIO', 'TSLA']",0.5833333333333333,-0.05729166666666667,Negative
91,IBD_ECarson,1343714026216247296,2020-12-29 00:22:43,0,1,"b"" Apple, Amazon, Google are growth stocks but - at least $AAPL and $GOOGL - are growing at a slower pace. The big winners in recent months have been stocks with really strong growth (sometimes not profitable). I don't think big federal tax hikes are likely in 2021, but who knows.""","['AAPL', 'GOOGL']",0.4305555555555556,0.022222222222222216,Positive
92,IBD_ECarson,1343713285355360258,2020-12-29 00:19:46,0,1,"b""  I try to point out interesting market trends. I wouldn't have said those 5 stocks were my picks. But, on a day when growth stocks got hammered, $AAPL kept rising strong, $MSFT climbed 1%, $TSM edged up while $ADBE &amp; $QCOM edged lower.""","['AAPL', 'MSFT', 'TSM', 'ADBE', 'QCOM']",0.6166666666666667,0.4666666666666667,Positive
93,IBD_ECarson,1343700209251934208,2020-12-28 23:27:49,7,38,"b'Market rally hits new high, with Apple, Amazon, Google, Visa among the big-cap winners. But growth stocks have a bad day.  $AAPL $AMZN $GOOGL $MSFT $FB $V $MA $JPM '","['AAPL', 'AMZN', 'GOOGL', 'MSFT', 'FB', 'V', 'MA', 'JPM']",0.5537373737373738,-0.1345454545454545,Negative
96,IBD_ECarson,1343372099629420545,2020-12-28 01:44:01,6,23,"b'President Trump signs stimulus bill, saying GOP-led Senate will vote on $2,000 direct checks, Section 230 repeal and investigate his claims of voter fraud. Futures slightly extend gains. '",['2'],0.2833333333333333,-0.033333333333333326,Negative
97,IBD_ECarson,1343371707659128833,2020-12-28 01:42:28,0,1,"b' $TSLA has no proper buy point, while $BABA is not looking good. $AAPL, $TSM, $MSFT, etc. are flashing some early buy signals. But you definitely need to do your own research.'","['TSLA', 'BABA', 'AAPL', 'TSM', 'MSFT']",0.5,0.27999999999999997,Positive
98,IBD_ECarson,1343341724953759744,2020-12-27 23:43:19,7,27,"b'Trump teases ""good news"" on stimulus deal he\'s threatened to veto. No details yet, but futures turn higher. Tesla nears \nhistoric milestone."" Five tech titans that are flashing buy signals.  $TSLA $AAPL $TSM $ADBE $MSFT $QCOM $BABA '","['TSLA', 'AAPL', 'TSM', 'ADBE', 'MSFT', 'QCOM', 'BABA']",0.55,0.475,Positive
99,IBD_ECarson,1343197379126722560,2020-12-27 14:09:45,10,43,"b'If AstraZeneca has found the ""winning formula"" for its vaccine, that would be a big deal. The $AZN vaccine is crucial for immunizing developing nations -  much cheaper and easier to make than the mRNA-based Pfizer and Moderna vaccines. $MRNA $PFE '","['AZN', 'MRNA', 'PFE']",0.5125000000000001,0.175,Positive
100,IBD_ECarson,1342904281486090245,2020-12-26 18:45:05,0,0,"b"" Well, $ZM has gone up a LOT during the pandemic. Investors may be looking ahead and expecting Zoom's growth to slow as the pandemic fades. Of course, $PTON is doing great. It's why I think having a mix of leading stocks makes sense.""","['ZM', 'PTON']",0.575,0.25,Positive
101,IBD_ECarson,1342900287179116552,2020-12-26 18:29:13,1,1,"b' Si entiendo usted... Coronavirus plays, or companies/stocks doing better in Covid: $ZM, $PTON, cloud software to a lesser extent. Post-pandemic plays? $ISRG, $CAT, $DE. Not affected? $GNRC? But, is demand up due to people spending on homes and are in disaster mindset?'","['ZM', 'PTON', 'ISRG', 'CAT', 'DE', 'GNRC']",0.4583333333333333,0.125,Positive
102,IBD_ECarson,1342866943552851968,2020-12-26 16:16:43,2,7,"b'Also, check out the embedded video.  and I analyzed the weekly stock market action and what investors should be doing in the coming days. We also took a look at Generac, Purple Innovation and Taiwan Semiconductor. $GNRC $PRPL $TSM'","['GNRC', 'PRPL', 'TSM']",0.1,0.1,Positive
103,IBD_ECarson,1342866942248374272,2020-12-26 16:16:42,5,33,"b""Here's my weekend market column.\n\nThe stock market rally is showing healthy action, with the S&amp;P 500 index forming a 4-weeks tight. Apple has stepped up; is this megacap next?\n $AAPL $MSFT $TSM $QCOM $ADBE ""","['AAPL', 'MSFT', 'TSM', 'QCOM', 'ADBE']",0.29523809523809524,0.14047619047619045,Positive
